User_ID,UTC_Time,Account,Operation,Coin,Change,Remark
149547063,5/26/2021 3:06,Spot,Savings Interest,BTC,3.40E-07,
149547063,5/26/2021 3:40,Spot,Savings Interest,BNB,0.00000197,
149547063,5/26/2021 6:33,Spot,POS savings interest,ADA,0.0128052,
149547063,5/26/2021 6:40,Spot,POS savings interest,ADA,0.00944998,
149547063,5/26/2021 8:27,Spot,ETH 2.0 Staking Rewards,BETH,0.0000097,
149547063,5/27/2021 1:08,Spot,POS savings interest,ADA,0.0128052,
149547063,5/27/2021 1:15,Spot,POS savings interest,ADA,0.00944998,
149547063,5/27/2021 8:26,Spot,ETH 2.0 Staking Rewards,BETH,0.00000963,
149547063,5/27/2021 12:15,Spot,Savings Interest,BTC,3.40E-07,
149547063,5/27/2021 13:00,Spot,Savings Interest,BNB,0.00000197,
149547063,5/28/2021 1:10,Spot,POS savings interest,ADA,0.0128052,
149547063,5/28/2021 1:17,Spot,POS savings interest,ADA,0.00944998,
149547063,5/28/2021 3:14,Spot,Savings Interest,BTC,3.40E-07,
149547063,5/28/2021 3:58,Spot,Savings Interest,BNB,0.00000197,
149547063,5/28/2021 8:27,Spot,ETH 2.0 Staking Rewards,BETH,0.00000963,
149547063,5/29/2021 1:09,Spot,POS savings interest,ADA,0.0128052,
149547063,5/29/2021 1:16,Spot,POS savings interest,ADA,0.00944998,
149547063,5/29/2021 3:12,Spot,Savings Interest,BTC,3.40E-07,
149547063,5/29/2021 3:38,Spot,Savings Interest,BNB,0.00000197,
149547063,5/29/2021 8:27,Spot,ETH 2.0 Staking Rewards,BETH,0.00000963,
149547063,5/30/2021 1:09,Spot,POS savings interest,ADA,0.0128052,
149547063,5/30/2021 1:16,Spot,POS savings interest,ADA,0.00944998,
149547063,5/30/2021 3:15,Spot,Savings Interest,BTC,3.40E-07,
149547063,5/30/2021 3:55,Spot,Savings Interest,BNB,0.00000197,
149547063,5/30/2021 8:27,Spot,ETH 2.0 Staking Rewards,BETH,0.0000096,
149547063,5/31/2021 1:09,Spot,POS savings interest,ADA,0.0128052,
149547063,5/31/2021 1:16,Spot,POS savings interest,ADA,0.00944998,
149547063,5/31/2021 3:16,Spot,Savings Interest,BTC,3.40E-07,
149547063,5/31/2021 3:40,Spot,Savings Interest,BNB,0.00000197,
